produto,preco,descricao,foto,tipo
TORRADA SEM OVO,"R$ 14,00","Maionese, tomate, alface, presunto, queijo, no pão de xis",fundo.jpg,lanche
TORRADA COM OVO,"R$ 16,00","Maionese, tomate, alface, presunto, queijo, ovo, no pão de xis",fundo.jpg,lanche
XIS BURGUER,"R$ 19,00","Maionese, tomate, alface, bife de carne moída, presunto, queijo, ovo",fundo.jpg,lanche
XIS SALADA,"R$ 22,00","Maionese, milho, ervilha, tomate, alface, bife de carne moída, queijo, ovo",fundo.jpg,lanche
XIS FRANGO,"R$ 25,00","Maionese, milho, ervilha, tomate, alface, frango desfiado, queijo, ovo",fundo.jpg,lanche
XIS CALABRESA,"R$ 26,00","Maionese, milho, ervilha, tomate, alface, calabresa, queijo, ovo",fundo.jpg,lanche
XIS SALADA DUPLO,"R$ 28,00","Maionese, milho, ervilha, tomate, alface, 2 bifes de carne moída, queijo, ovo",fundo.jpg,lanche
XIS BACON,"R$ 29,00","Maionese, milho, ervilha, tomate, alface, bacon, queijo, ovo",fundo.jpg,lanche
XIS CORAÇÃO,"R$ 29,00","Maionese, milho, ervilha, tomate, alface, coração, queijo, ovo",fundo.jpg,lanche
XIS FRANGO COM BACON,"R$ 32,00","Maionese, milho, ervilha, tomate, alface, frango, bacon, queijo, ovo",fundo.jpg,lanche
XIS A MODA DA CASA,"R$ 28,00","Maionese, tomate, alface, contra filé picado, queijo, ovo",fundo.jpg,lanche
XIS TUDO,"R$ 33,00","Maionese, milho, ervilha, tomate, alface, coração, calabresa, bacon, frango, queijo, ovo",fundo.jpg,lanche
XIS ENTREVERO,"R$ 34,99","Maionese, milho, ervilha, tomate, alface, carne bovina, suina, coração, frango, calabresa, queijo, ovo",xentrevero.jpg,lanche
XIS COSTELA MOÍDA,"R$ 29,99","Maionese, milho, ervilha, tomate, alface, bife de 200g de costela moída, queijo, ovo",xcostela.jpg,lanche
DOG SIMPLES,"R$ 14,00","Maionese, milho, ervilha, 1 salsicha, molho, batata palha.",fundo.jpg,lanche
DOG DUPLO,"R$ 16,00","Maionese, milho, ervilha, 2 salsichas, molho, batata palha.",dog2.jpg,lanche
DOG FRANGO,"R$ 17,00","Maionese, milho, ervilha, frango desfiado, molho, queijo, batata palha.",fundo.jpg,lanche
DOG CALABRESA,"R$ 17,00","Maionese, milho, ervilha, calabresa, molho, queijo, batata palha.",fundo.jpg,lanche
DOG BACON,"R$ 23,00","Maionese, milho, ervilha, bacon, molho, queijo, batata palha.",fundo.jpg,lanche
DOG CORAÇÃO,"R$ 24,00","Maionese, milho, ervilha, coração, molho, queijo, batata palha.",fundo.jpg,lanche
DOG CHOCOLATE,"R$ 15,00","Leite condensado, bombom Ouro Branco ou bombom Sonho de Valsa",fundo.jpg,lanche
VIOLINHA COM FRITAS,"R$ 65,00",Violinha (peixe) 500 gramas  e Batata Frita,fundo.jpg,lanche
BATATA FRITA PEQUENA,"R$ 20,00",Batata Frita 350 gramas,fundo.jpg,lanche
BATATA FRITA MÉDIA,"R$ 25,00",Batata Frita 550 gramas,fundo.jpg,lanche
BATATA FRITA GRANDE,"R$ 30,00",Batata Frita 700 gramas,fundo.jpg,lanche
BATATÃO PEQUENO,"R$ 35,00","Batata Frita, carne, calabresa, queijo. (Serve 1 pessoa)",fundo.jpg,lanche
BATATÃO GRANDE,"R$ 65,00","Batata Frita, carne, calabresa, queijos (Serve 2 pessoas)",fundo.jpg,lanche
PORÇÃO DE VIOLINHA,"R$ 55,00","10 anéis de cebola, e 500 gramas de (peixe) violinha",violinha.jpg,lanche
REFRI 200 ml,"R$ 3,00",Pepsi e Guaraná,refri.jpg,bebida
COMBO 1,"R$ 57,99",3 Dog Duplo e Pepsii 2 litros,fundo.jpg,bebida
REFRI FRUKI 2000 ml,"R$ 14,00",Refregerante Fruki 2 litros,fruki2.jpeg,bebida
COMBO 2,"R$ 54,99",2 Xis Salada e 1 refri Pepsi 2 litros,fundo.jpg,bebida
REFRI FRUKI 200 ml,"R$ 3,00",Guaraná,frukipqn.jpeg,bebida
COMBO 3,"R$ 39,99",2 Dog Duplo e 1 refri Fruki 2 litros,fundo.jpg,bebida
REFRI LATA COCA 350 ml,"R$ 6,00",Refri lata Coca 350 ml,fundo.jpg,bebida
COMBO 4,"R$ 59,99",2 Xis Calabresa  e 1 refri Fruki 2 litros,fundo.jpg,bebida
REFRI LATA FRUKI 350 ml,"R$ 6,00",Refri Fruki lata 350 ml,fundo.jpg,bebida
COMBO 5,"R$ 25,99",1 Xis Salada  e 1 refri Fruki lata,fundo.jpg,bebida
REFRI 600 ml,"R$ 8,00",Refri 600 ml. Coca ou Fruki,fundo.jpg,bebida
COMBO 6,"R$ 91,99",3 Xis Moda da Casa e 1 refri Fruki 2 litros,fundo.jpg,bebida
